epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,228.544,0.44689,0.428,1.00511,0.99351,1,0.995,0.885,0.57305,0.57154,1.24131,0.000990365,0.000990365,0.000990365
43,234.752,0.47784,0.44912,1.03977,0.98943,0.99004,0.995,0.91097,0.53171,0.59601,1.20735,0.000973861,0.000973861,0.000973861
44,239.277,0.44135,0.40668,1.01118,0.99453,1,0.995,0.89959,0.49809,0.48698,1.16916,0.000957358,0.000957358,0.000957358
45,243.801,0.44538,0.40351,1.00763,0.98002,1,0.995,0.9004,0.51637,0.43381,1.16862,0.000940855,0.000940855,0.000940855
46,249.972,0.44784,0.40454,1.00231,0.98483,1,0.995,0.89972,0.50987,0.45102,1.18959,0.000924352,0.000924352,0.000924352
47,254.615,0.42467,0.39343,0.99435,0.99391,1,0.995,0.87647,0.57032,0.4254,1.21743,0.000907848,0.000907848,0.000907848
48,259.573,0.44409,0.40165,1.01016,0.99513,1,0.995,0.87157,0.50648,0.42315,1.1616,0.000891345,0.000891345,0.000891345
49,265.409,0.39961,0.37071,0.97278,0.95618,1,0.995,0.92463,0.42681,0.42708,1.05192,0.000874842,0.000874842,0.000874842
50,269.989,0.41561,0.39705,0.98699,0.99203,1,0.995,0.90491,0.44636,0.40842,1.07469,0.000858338,0.000858338,0.000858338
51,275.793,0.40604,0.36056,0.98543,0.99218,1,0.995,0.9192,0.47401,0.4231,1.10023,0.000841835,0.000841835,0.000841835
52,282.321,0.41486,0.38642,0.98753,0.95181,1,0.995,0.9061,0.48075,0.461,1.09371,0.000825332,0.000825332,0.000825332
53,288.843,0.41916,0.38062,0.98722,0.98242,1,0.995,0.91368,0.47351,0.41403,1.11509,0.000808828,0.000808828,0.000808828
54,294.881,0.39001,0.3551,0.97017,0.99618,1,0.995,0.90227,0.48878,0.43827,1.12119,0.000792325,0.000792325,0.000792325
55,299.563,0.40992,0.36996,0.98913,0.92735,0.97136,0.98929,0.88498,0.50196,0.54846,1.15571,0.000775822,0.000775822,0.000775822
56,305.716,0.45593,0.41175,1.01359,0.97327,0.99647,0.995,0.89149,0.48497,0.48884,1.09965,0.000759318,0.000759318,0.000759318
57,310.416,0.41684,0.3751,0.97121,0.99416,1,0.995,0.92691,0.48178,0.39563,1.1308,0.000742815,0.000742815,0.000742815
